"Id" "Sexo" "Estad_Civil" "Ingreso_mensual_cliente" "N_llamada_recib" "N_recargas" "Tot_Min_consum" "N_mens_tex_env" "N_llamadas_realiz" "Antig_cliente_meses" "N_reclamos"
"74" 74 "Masculino" "Soltero" 4098 13 8 307 17 14 72 1
"75" 75 "Masculino" "Casado" 4294 13 8 302 24 16 72 1
"76" 76 "Femenino" "Casado" 4077 14 8 318 29 14 72 1
"77" 77 "Masculino" "Casado" 2933 18 4 121 9 14 72 2
"78" 78 "Femenino" "Casado" 2511 22 4 121 72 18 72 2
"79" 79 "Masculino" "Casado" 2979 21 4 120 83 20 72 2
"80" 80 "Masculino" "Soltero" 2189 26 4 96 66 18 72 2
"81" 81 "Masculino" "Casado" 2395 22 4 122 82 16 72 1
"82" 82 "Masculino" "Casado" 2288 28 4 97 88 17 72 3
"83" 83 "Masculino" "Casado" 2506 23 4 120 93 14 72 3
"84" 84 "Masculino" "Casado" 2164 28 4 98 76 15 72 1
"85" 85 "Masculino" "Soltero" 2100 27 4 97 84 16 72 3
"86" 86 "Masculino" "Casado" 4100 13 8 350 38 13 73 1
"87" 87 "Masculino" "Casado" 3672 14 8 304 29 12 73 1
"88" 88 "Masculino" "Soltero" 3988 13 8 350 26 13 73 1
"89" 89 "Femenino" "Casado" 4042 14 8 302 21 14 73 1
"90" 90 "Femenino" "Casado" 3777 15 8 318 29 12 73 1
"91" 91 "Masculino" "Casado" 4952 12 8 429 42 12 73 1
"92" 92 "Masculino" "Casado" 4464 13 8 400 29 12 73 1
"93" 93 "Masculino" "Casado" 4363 13 8 351 33 13 73 1
"94" 94 "Masculino" "Casado" 4237 14 8 318 29 14 73 1
"95" 95 "Masculino" "Casado" 4735 13 8 440 46 11 73 1
"96" 96 "Femenino" "Casado" 4951 12 8 455 48 11 73 1
"97" 97 "Masculino" "Casado" 3821 13 8 360 38 11 73 1
"98" 98 "Femenino" "Casado" 3121 18 6 225 5 16 73 1
"99" 99 "Femenino" "Casado" 3278 16 6 250 2 18 73 1
"100" 100 "Masculino" "Casado" 2945 18 6 232 2 16 73 1
"101" 101 "Masculino" "Soltero" 3021 18 6 250 84 16 73 1
"102" 102 "Masculino" "Casado" 2904 23 6 198 91 16 73 1
"103" 103 "Masculino" "Casado" 1950 26 4 97 50 21 73 2
"104" 104 "Masculino" "Casado" 4997 11 8 400 29 14 73 1
"105" 105 "Masculino" "Casado" 4906 12 8 400 36 12 73 1
"106" 106 "Masculino" "Casado" 4654 13 8 360 37 13 73 1
"107" 107 "Masculino" "Casado" 4499 12 8 350 39 12 73 1
"108" 108 "Femenino" "Casado" 2789 18 6 232 2 15 73 1
"109" 109 "Masculino" "Soltero" 2279 20 4 97 84 19 73 3
"110" 110 "Masculino" "Casado" 2401 21 4 140 69 20 73 1
"111" 111 "Masculino" "Casado" 2379 22 4 108 90 16 73 3
"112" 112 "Masculino" "Casado" 2124 18 3 70 86 14 73 3
"113" 113 "Masculino" "Casado" 2310 19 4 122 81 18 73 1
"114" 114 "Femenino" "Casado" 2472 21 6 155 6 14 73 1
"115" 115 "Femenino" "Casado" 2265 26 4 98 86 16 73 2
"116" 116 "Masculino" "Soltero" 4082 15 8 350 26 13 73 1
"117" 117 "Masculino" "Casado" 4278 16 8 400 49 10 73 1
"118" 118 "Masculino" "Casado" 1867 29 4 68 52 20 73 2
"119" 119 "Masculino" "Casado" 2158 24 4 116 71 16 73 2
"120" 120 "Femenino" "Casado" 2582 20 4 114 87 14 73 2
"121" 121 "Masculino" "Casado" 2868 19 4 121 9 16 73 2
"122" 122 "Femenino" "Soltero" 3399 15 8 318 29 11 73 1
"123" 123 "Femenino" "Casado" 2660 24 4 121 8 14 73 2
"124" 124 "Femenino" "Casado" 2807 20 6 156 14 14 73 3
"125" 125 "Masculino" "Soltero" 3664 11 8 350 39 11 73 1
"126" 126 "Masculino" "Casado" 3102 20 6 198 91 16 74 1
"127" 127 "Masculino" "Soltero" 2875 21 6 200 1 17 74 1
"128" 128 "Masculino" "Soltero" 2901 19 6 232 2 16 74 1
"129" 129 "Masculino" "Casado" 3336 15 6 250 2 17 74 1
"130" 130 "Masculino" "Casado" 1950 31 4 79 64 19 74 3
"131" 131 "Femenino" "Soltero" 2451 26 4 122 76 16 74 1
"132" 132 "Masculino" "Casado" 1836 32 4 71 62 21 74 3
"133" 133 "Femenino" "Casado" 2542 25 4 140 71 17 74 1
"134" 134 "Masculino" "Casado" 3781 16 6 250 2 17 74 1
"135" 135 "Femenino" "Casado" 3632 16 6 258 8 18 74 1
"136" 136 "Masculino" "Casado" 3613 18 6 225 5 16 74 1
"137" 137 "Femenino" "Casado" 4141 16 8 302 24 14 74 1
"138" 138 "Femenino" "Casado" 4699 13 8 350 29 14 74 1
"139" 139 "Femenino" "Soltero" 4457 14 8 318 29 14 74 1
"140" 140 "Masculino" "Casado" 4638 14 8 302 24 16 74 1
"141" 141 "Masculino" "Soltero" 4257 14 8 304 29 16 74 1
"142" 142 "Masculino" "Casado" 2219 29 4 98 79 16 74 2
"143" 143 "Femenino" "Casado" 1963 26 4 79 64 16 74 2
"144" 144 "Masculino" "Casado" 2300 26 4 97 74 14 74 2
"145" 145 "Femenino" "Casado" 1649 31 4 76 53 16 74 3
"146" 146 "Masculino" "Casado" 2003 32 4 83 58 19 74 3
"147" 147 "Femenino" "Casado" 2125 28 4 90 71 14 74 1
"148" 148 "Masculino" "Soltero" 2108 24 4 90 71 16 74 2
"149" 149 "Masculino" "Soltero" 2246 26 4 116 71 14 74 2
"150" 150 "Femenino" "Casado" 2489 24 4 120 93 15 74 3
"151" 151 "Femenino" "Soltero" 2391 26 4 108 89 16 74 3
"152" 152 "Femenino" "Casado" 2000 31 4 79 64 16 74 2
"153" 153 "Masculino" "Casado" 3264 19 6 225 91 16 75 1
"154" 154 "Masculino" "Casado" 3459 18 6 250 5 16 75 1
"155" 155 "Masculino" "Casado" 3432 15 6 250 69 21 75 1
"156" 156 "Femenino" "Casado" 3158 15 6 250 69 20 75 1
"157" 157 "Masculino" "Casado" 4668 16 8 400 37 12 75 1
"158" 158 "Femenino" "Casado" 4440 15 8 350 26 14 75 1
"159" 159 "Masculino" "Casado" 4498 16 8 318 29 14 75 1
"160" 160 "Femenino" "Casado" 4657 14 8 351 27 14 75 1
"161" 161 "Masculino" "Casado" 3907 17 6 231 8 21 75 1
"162" 162 "Masculino" "Soltero" 3897 16 6 250 5 18 75 1
"163" 163 "Femenino" "Casado" 3730 15 6 258 8 19 75 1
"164" 164 "Masculino" "Soltero" 3785 18 6 225 91 19 75 1
"165" 165 "Masculino" "Casado" 3039 21 6 231 8 15 75 1
"166" 166 "Femenino" "Soltero" 3221 20 8 262 8 14 75 1
"167" 167 "Femenino" "Soltero" 3169 13 8 302 16 12 75 1
"168" 168 "Masculino" "Casado" 2171 29 4 97 71 16 75 3
"169" 169 "Femenino" "Casado" 2639 23 4 140 79 17 75 1
"170" 170 "Masculino" "Casado" 2914 20 6 232 2 16 75 1
"171" 171 "Masculino" "Casado" 2592 23 4 140 74 18 75 1
"172" 172 "Femenino" "Casado" 2702 24 4 134 92 14 75 3
"173" 173 "Masculino" "Casado" 2223 25 4 90 68 16 75 2
"174" 174 "Masculino" "Casado" 2545 24 4 119 93 17 75 3
"175" 175 "Masculino" "Soltero" 2984 18 6 171 93 14 75 1
"176" 176 "Femenino" "Soltero" 1937 29 4 90 67 14 75 2
"177" 177 "Masculino" "Casado" 3211 19 6 232 86 17 75 1
"178" 178 "Masculino" "Casado" 2694 23 4 115 91 15 75 2
"179" 179 "Femenino" "Casado" 2957 23 4 120 84 17 75 2
"180" 180 "Masculino" "Casado" 2945 22 4 121 94 14 75 2
"181" 181 "Femenino" "Casado" 2671 25 4 121 11 14 75 2
"182" 182 "Masculino" "Casado" 1795 33 4 91 54 18 75 3
"183" 183 "Femenino" "Casado" 2464 28 4 107 82 16 76 2
"184" 184 "Masculino" "Casado" 2220 25 4 116 77 17 76 2
"185" 185 "Femenino" "Casado" 2572 25 4 140 88 15 76 1
"186" 186 "Masculino" "Casado" 2255 26 4 98 75 18 76 1
"187" 187 "Masculino" "Casado" 2202 27 4 101 79 15 76 2
"188" 188 "Masculino" "Casado" 4215 17.5 8 305 24 13 76 1
"189" 189 "Masculino" "Casado" 4190 16 8 318 29 13 76 1
"190" 190 "Masculino" "Soltero" 3962 15.5 8 304 13 14 76 1
"191" 191 "Masculino" "Casado" 4215 14.5 8 351 30 13 76 1
"192" 192 "Masculino" "Casado" 3233 22 6 225 2 15 76 1
"193" 193 "Masculino" "Casado" 3353 22 6 250 5 14 76 1
"194" 194 "Masculino" "Casado" 3012 24 6 200 77 18 76 1
"195" 195 "Masculino" "Soltero" 3085 22.5 6 232 86 18 76 1
"196" 196 "Masculino" "Casado" 2035 29 4 85 53 22 76 1
"197" 197 "Masculino" "Casado" 2164 24.5 4 98 57 22 76 1
"198" 198 "Masculino" "Casado" 1937 29 4 90 67 14 76 2
"199" 199 "Masculino" "Soltero" 1795 33 4 91 54 17 76 3
"200" 200 "Masculino" "Casado" 3651 20 6 225 2 18 76 1
"201" 201 "Masculino" "Casado" 3574 18 6 250 74 21 76 1
"202" 202 "Masculino" "Casado" 3645 18.5 6 250 8 16 76 1
"203" 203 "Masculino" "Casado" 3193 17.5 6 258 91 18 76 1
"204" 204 "Masculino" "Soltero" 1825 29.5 4 97 68 12 76 2
"205" 205 "Femenino" "Casado" 1990 32 4 85 67 17 76 3
"206" 206 "Masculino" "Casado" 2155 28 4 97 71 16 76 3
"207" 207 "Femenino" "Casado" 2565 26.5 4 140 69 14 76 1
"208" 208 "Masculino" "Casado" 3150 20 4 130 3 16 76 2
"209" 209 "Masculino" "Casado" 3940 13 8 318 29 13 76 1
"210" 210 "Masculino" "Casado" 3270 19 4 120 84 22 76 2
"211" 211 "Femenino" "Casado" 2930 19 6 156 7 16 76 3
"212" 212 "Femenino" "Soltero" 3820 16.5 6 168 13 17 76 2
"213" 213 "Masculino" "Casado" 4380 16.5 8 350 39 12 76 1
"214" 214 "Femenino" "Casado" 4055 13 8 350 26 12 76 1
"215" 215 "Masculino" "Casado" 3870 13 8 302 17 15 76 1
"216" 216 "Femenino" "Casado" 3755 13 8 318 29 14 76 1
"217" 217 "Masculino" "Soltero" 2045 31.5 4 98 65 18 77 3
"218" 218 "Masculino" "Casado" 2155 30 4 111 76 15 77 1
"219" 219 "Femenino" "Casado" 1825 36 4 79 56 19 77 2
"220" 220 "Masculino" "Casado" 2300 25.5 4 122 92 16 77 1
"221" 221 "Femenino" "Casado" 1945 33.5 4 85 67 17 77 3
"222" 222 "Masculino" "Casado" 3880 17.5 8 305 26 12 77 1
"223" 223 "Masculino" "Casado" 4060 17 8 260 8 19 77 1
"224" 224 "Femenino" "Soltero" 4140 15.5 8 318 26 14 77 1
"225" 225 "Femenino" "Casado" 4295 15 8 302 17 15 77 1
"226" 226 "Femenino" "Casado" 3520 17.5 6 250 8 16 77 1
"227" 227 "Femenino" "Casado" 3425 20.5 6 231 5 17 77 1
"228" 228 "Femenino" "Casado" 3630 19 6 225 2 18 77 1
"229" 229 "Femenino" "Casado" 3525 18.5 6 250 94 19 77 1
"230" 230 "Masculino" "Soltero" 4220 16 8 400 39 11 77 1
"231" 231 "Femenino" "Casado" 4165 15.5 8 350 37 11 77 1
"232" 232 "Masculino" "Casado" 4325 15.5 8 400 40 12 77 1
"233" 233 "Femenino" "Casado" 4335 16 8 351 28 14 77 1
"234" 234 "Masculino" "Casado" 1940 29 4 97 74 14 77 2
"235" 235 "Femenino" "Soltero" 2740 24.5 4 151 84 16 77 1
"236" 236 "Masculino" "Soltero" 2265 26 4 97 71 18 77 3
"237" 237 "Masculino" "Casado" 2755 25.5 4 140 85 16 77 1
"238" 238 "Masculino" "Casado" 2051 30.5 4 98 60 17 77 1
"239" 239 "Masculino" "Soltero" 2075 33.5 4 98 79 16 77 1
"240" 240 "Masculino" "Soltero" 1985 30 4 97 64 16 77 3
"241" 241 "Masculino" "Casado" 2190 30.5 4 97 74 14 77 2
"242" 242 "Masculino" "Casado" 2815 22 6 146 93 14 77 3
"243" 243 "Masculino" "Casado" 2600 21.5 4 121 8 13 77 2
"244" 244 "Masculino" "Casado" 2720 21.5 3 80 8 14 77 3
"245" 245 "Femenino" "Soltero" 1985 43.1 4 90 51 22 78 2
"246" 246 "Femenino" "Casado" 1800 36.1 4 98 63 14 78 1
"247" 247 "Masculino" "Soltero" 1985 32.8 4 78 53 19 78 3
"248" 248 "Masculino" "Casado" 2070 39.4 4 85 67 19 78 3
"249" 249 "Masculino" "Casado" 1800 36.1 4 91 57 16 78 3
"250" 250 "Femenino" "Soltero" 3365 19.9 8 260 8 16 78 1
"251" 251 "Masculino" "Casado" 3735 19.4 8 318 24 13 78 1
"252" 252 "Femenino" "Soltero" 3570 20.2 8 302 23 13 78 1
"253" 253 "Femenino" "Casado" 3535 19.2 6 231 5 19 78 1
"254" 254 "Masculino" "Casado" 3155 20.5 6 200 91 18 78 1
"255" 255 "Masculino" "Casado" 2965 20.2 6 200 81 16 78 1
"256" 256 "Masculino" "Casado" 2720 25.1 4 140 84 15 78 1
"257" 257 "Masculino" "Casado" 3430 20.5 6 225 2 17 78 1
"258" 258 "Femenino" "Casado" 3210 19.4 6 232 86 17 78 1
"259" 259 "Femenino" "Casado" 3380 20.6 6 231 5 16 78 1
"260" 260 "Masculino" "Casado" 3070 20.8 6 200 81 17 78 1
"261" 261 "Masculino" "Casado" 3620 18.6 6 225 8 19 78 1
"262" 262 "Masculino" "Soltero" 3410 18.1 6 258 13 15 78 1
"263" 263 "Masculino" "Soltero" 3425 19.2 8 305 26 13 78 1
"264" 264 "Masculino" "Casado" 3445 17.7 6 231 35 13 78 1
"265" 265 "Masculino" "Casado" 3205 18.1 8 302 23 11 78 1
"266" 266 "Masculino" "Casado" 4080 17.5 8 318 24 14 78 1
"267" 267 "Masculino" "Casado" 2155 30 4 98 65 16 78 1
"268" 268 "Masculino" "Casado" 2560 27.5 4 134 91 14 78 3
"269" 269 "Femenino" "Casado" 2300 27.2 4 119 93 15 78 3
"270" 270 "Femenino" "Casado" 2230 30.9 4 105 71 14 78 1
"271" 271 "Femenino" "Casado" 2515 21.1 4 134 91 15 78 3
"272" 272 "Masculino" "Soltero" 2745 23.2 4 156 5 17 78 1
"273" 273 "Femenino" "Casado" 2855 23.8 4 151 81 18 78 1
"274" 274 "Femenino" "Casado" 2405 23.9 4 119 93 15 78 3
"275" 275 "Masculino" "Soltero" 2830 20.3 5 131 4 16 78 2
"276" 276 "Masculino" "Casado" 3140 17 6 163 15 14 78 2
"277" 277 "Femenino" "Casado" 2795 21.6 4 121 11 16 78 2
"278" 278 "Masculino" "Casado" 3410 16.2 6 163 19 16 78 2
"279" 279 "Masculino" "Soltero" 1990 31.5 4 89 68 15 78 2
"280" 280 "Femenino" "Casado" 2135 29.5 4 98 65 17 78 3
"281" 281 "Masculino" "Casado" 3245 21.5 6 231 11 15 79 1
"282" 282 "Masculino" "Casado" 2990 19.8 6 200 81 18 79 1
"283" 283 "Masculino" "Soltero" 2890 22.3 4 140 84 17 79 1
"284" 284 "Femenino" "Casado" 3265 20.2 6 232 86 18 79 1
"285" 285 "Masculino" "Soltero" 3360 20.6 6 225 8 17 79 1
"286" 286 "Masculino" "Casado" 3840 17 8 305 17 15 79 1
"287" 287 "Masculino" "Soltero" 3725 17.6 8 302 16 13 79 1
"288" 288 "Femenino" "Casado" 3955 16.5 8 351 22 13 79 1
"289" 289 "Masculino" "Casado" 3830 18.2 8 318 20 15 79 1
"290" 290 "Masculino" "Casado" 4360 16.9 8 350 32 15 79 1
"291" 291 "Masculino" "Casado" 4054 15.5 8 351 25 14 79 1
"292" 292 "Masculino" "Casado" 3605 19.2 8 267 15 15 79 1
"293" 293 "Masculino" "Casado" 3940 18.5 8 360 29 13 79 1
"294" 294 "Masculino" "Casado" 1925 31.9 4 89 68 14 79 2
"295" 295 "Femenino" "Casado" 1975 34.1 4 86 62 15 79 3
"296" 296 "Masculino" "Casado" 1915 35.7 4 98 76 14 79 1
"297" 297 "Femenino" "Soltero" 2670 27.4 4 121 76 15 79 1
"298" 298 "Masculino" "Casado" 3530 25.4 5 183 73 20 79 2
"299" 299 "Femenino" "Casado" 3900 23 8 350 15 17 79 1
"300" 300 "Masculino" "Casado" 3190 27.2 4 141 68 25 79 2
"301" 301 "Masculino" "Casado" 3420 23.9 8 260 86 22 79 1
"302" 302 "Masculino" "Casado" 2200 34.2 4 105 67 13 79 1
"303" 303 "Femenino" "Casado" 2150 34.5 4 105 67 15 79 1
"304" 304 "Masculino" "Casado" 2020 31.8 4 85 62 19 79 3
"305" 305 "Masculino" "Casado" 2130 37.3 4 91 66 15 79 2
"306" 306 "Masculino" "Casado" 2670 28.4 4 151 86 16 79 1
"307" 307 "Masculino" "Soltero" 2595 28.8 6 173 11 11 79 1
"308" 308 "Masculino" "Casado" 2700 26.8 6 173 11 13 79 1
"309" 309 "Masculino" "Soltero" 2556 33.5 4 151 86 13 79 1
"310" 310 "Femenino" "Casado" 2144 41.5 4 98 72 15 80 2
"311" 311 "Femenino" "Casado" 1968 38.1 4 89 57 19 80 3
"312" 312 "Masculino" "Casado" 2120 32.1 4 98 67 16 80 1
"313" 313 "Masculino" "Casado" 2019 37.2 4 86 62 16 80 3
"314" 314 "Femenino" "Soltero" 2678 28 4 151 86 16 80 1
"315" 315 "Masculino" "Soltero" 2870 26.4 4 140 84 18 80 1
"316" 316 "Masculino" "Casado" 3003 24.3 4 151 86 20 80 1
"317" 317 "Masculino" "Casado" 3381 19.1 6 225 86 19 80 1
"318" 318 "Masculino" "Soltero" 2188 34.3 4 97 74 16 80 2
"319" 319 "Femenino" "Soltero" 2711 29.8 4 134 86 16 80 3
"320" 320 "Masculino" "Casado" 2542 31.3 4 120 71 18 80 3
"321" 321 "Masculino" "Casado" 2434 37 4 119 88 15 80 3
"322" 322 "Femenino" "Soltero" 2265 32.2 4 108 71 15 80 3
"323" 323 "Femenino" "Casado" 2110 46.6 4 86 62 18 80 3
"324" 324 "Masculino" "Casado" 2800 27.9 4 156 5 14 80 1
"325" 325 "Masculino" "Casado" 2110 40.8 4 85 62 19 80 3
"326" 326 "Masculino" "Casado" 2085 44.3 4 90 51 22 80 2
"327" 327 "Femenino" "Casado" 2335 43.4 4 90 51 24 80 2
"328" 328 "Masculino" "Casado" 2950 36.4 5 121 64 20 80 2
"329" 329 "Masculino" "Soltero" 3250 30 4 146 64 22 80 2
"330" 330 "Femenino" "Soltero" 1850 44.6 4 91 64 14 80 3
"331" 331 "Masculino" "Casado" 1835 40.9 4 85 1 17 80 2
"332" 332 "Masculino" "Casado" 2145 33.8 4 97 64 18 80 3
"333" 333 "Masculino" "Casado" 1845 29.8 4 89 59 15 80 2
"334" 334 "Masculino" "Casado" 2910 32.7 6 168 18 11 80 3
"335" 335 "Masculino" "Casado" 2420 23.7 3 70 2 12 80 3
"336" 336 "Femenino" "Casado" 2500 35 4 122 84 15 80 2
"337" 337 "Masculino" "Casado" 2905 23.6 4 140 1 14 80 1
"338" 338 "Masculino" "Casado" 2290 32.4 4 107 69 17 80 3
"339" 339 "Masculino" "Casado" 2490 27.2 4 135 80 16 81 1
"340" 340 "Femenino" "Casado" 2635 26.6 4 151 80 16 81 1
"341" 341 "Femenino" "Casado" 2620 25.8 4 156 88 14 81 1
"342" 342 "Femenino" "Casado" 2725 23.5 6 173 8 13 81 1
"343" 343 "Masculino" "Casado" 2385 30 4 135 80 13 81 1
"344" 344 "Masculino" "Casado" 1755 39.1 4 79 56 17 81 3
"345" 345 "Masculino" "Casado" 1875 39 4 86 61 16 81 1
"346" 346 "Masculino" "Casado" 1760 35.1 4 81 57 16 81 3
"347" 347 "Femenino" "Casado" 2065 32.3 4 97 64 18 81 3
"348" 348 "Masculino" "Casado" 1975 37 4 85 62 19 81 3
"349" 349 "Femenino" "Soltero" 2050 37.7 4 89 59 17 81 3
"350" 350 "Masculino" "Casado" 1985 34.1 4 91 65 16 81 3
"351" 351 "Masculino" "Casado" 2215 34.7 4 105 60 15 81 1
"352" 352 "Masculino" "Casado" 2045 34.4 4 98 62 16 81 1
"353" 353 "Masculino" "Casado" 2380 29.9 4 98 62 21 81 1
"354" 354 "Masculino" "Casado" 2190 33 4 105 70 14 81 2
"355" 355 "Masculino" "Casado" 2320 34.5 4 100 1 16 81 2
"356" 356 "Masculino" "Soltero" 2210 33.7 4 107 71 14 81 3
"357" 357 "Masculino" "Casado" 2350 32.4 4 108 71 17 81 3
"358" 358 "Masculino" "Casado" 2615 32.9 4 119 2 15 81 3
"359" 359 "Femenino" "Soltero" 2635 31.6 4 120 70 18 81 3
"360" 360 "Masculino" "Casado" 3230 28.1 4 141 76 20 81 2
"361" 361 "Femenino" "Casado" 3160 30.7 6 145 72 20 81 2
"362" 362 "Femenino" "Casado" 2900 25.4 6 168 12 13 81 3
"363" 363 "Femenino" "Casado" 2930 24.2 6 146 13 14 81 3
"364" 364 "Masculino" "Casado" 3415 22.4 6 231 8 16 81 1
"365" 365 "Masculino" "Casado" 3725 26.6 8 350 5 19 81 1
"366" 366 "Masculino" "Soltero" 3060 20.2 6 200 84 17 81 1
"367" 367 "Masculino" "Casado" 3465 17.6 6 225 81 17 81 1
"368" 368 "Femenino" "Casado" 2605 28 4 112 84 20 82 1
"369" 369 "Masculino" "Soltero" 2640 27 4 112 84 19 82 1
"370" 370 "Masculino" "Casado" 2395 34 4 112 84 18 82 1
"371" 371 "Masculino" "Casado" 2575 31 4 112 81 16 82 1
"372" 372 "Masculino" "Casado" 2525 29 4 135 80 16 82 1
"373" 373 "Masculino" "Casado" 2735 27 4 151 86 18 82 1
"374" 374 "Masculino" "Casado" 2865 24 4 140 88 16 82 1
"375" 375 "Femenino" "Soltero" 1980 36 4 105 70 15 82 2
"376" 376 "Masculino" "Casado" 2025 37 4 91 65 18 82 3
"377" 377 "Masculino" "Casado" 1970 31 4 91 65 18 82 3
"378" 378 "Masculino" "Casado" 2125 38 4 105 60 15 82 1
"379" 379 "Masculino" "Casado" 2125 36 4 98 67 17 82 1
"380" 380 "Masculino" "Casado" 2160 36 4 120 84 14 82 3
"381" 381 "Femenino" "Soltero" 2205 36 4 107 71 14 82 3
"382" 382 "Masculino" "Casado" 2245 34 4 108 67 17 82 3
"383" 383 "Masculino" "Casado" 1965 38 4 91 64 15 82 3
