,Y,Cuenta,Mes,Ppag,Uso,DM,Sexo,Estc
56,buen,no,12.0,"pre buen pagador",privado,385.0,mujer,"vive solo"
57,buen,"good running",12.0,"pre buen pagador",privado,1655.0,hombre,"no vive solo"
58,buen,no,15.0,"pre buen pagador",privado,1053.0,mujer,"no vive solo"
59,buen,"good running",21.0,"pre buen pagador",privado,3160.0,hombre,"no vive solo"
60,buen,"good running",36.0,"pre buen pagador",profesional,3079.0,hombre,"no vive solo"
61,buen,"good running",12.0,"pre buen pagador",profesional,1163.0,hombre,"no vive solo"
62,buen,"good running",24.0,"pre buen pagador",privado,2679.0,mujer,"vive solo"
63,buen,"good running",48.0,"pre buen pagador",privado,3578.0,hombre,"no vive solo"
64,buen,"good running",36.0,"pre buen pagador",profesional,10875.0,hombre,"no vive solo"
65,buen,no,12.0,"pre buen pagador",profesional,1344.0,hombre,"no vive solo"
66,buen,"good running",6.0,"pre buen pagador",privado,1237.0,mujer,"vive solo"
67,buen,"good running",12.0,"pre buen pagador",privado,3077.0,hombre,"no vive solo"
68,buen,"good running",24.0,"pre buen pagador",privado,2284.0,hombre,"no vive solo"
69,buen,"bad running",12.0,"pre buen pagador",privado,1567.0,mujer,"vive solo"
70,buen,"good running",24.0,"pre buen pagador",profesional,2032.0,hombre,"no vive solo"
71,buen,"bad running",21.0,"pre buen pagador",privado,2745.0,hombre,"no vive solo"
72,buen,"good running",30.0,"pre buen pagador",privado,1867.0,hombre,"no vive solo"
73,buen,"good running",36.0,"pre buen pagador",privado,2299.0,hombre,"no vive solo"
74,buen,"good running",24.0,"pre buen pagador",privado,929.0,hombre,"no vive solo"
75,buen,"bad running",12.0,"pre buen pagador",privado,3399.0,hombre,"no vive solo"
76,buen,"bad running",9.0,"pre buen pagador",privado,2030.0,hombre,"no vive solo"
77,buen,"good running",21.0,"pre buen pagador",privado,3275.0,hombre,"no vive solo"
78,buen,"good running",24.0,"pre buen pagador",profesional,1940.0,hombre,"no vive solo"
79,buen,no,21.0,"pre buen pagador",profesional,1602.0,mujer,"no vive solo"
80,buen,"good running",15.0,"pre buen pagador",privado,1979.0,hombre,"no vive solo"
81,buen,"good running",24.0,"pre buen pagador",profesional,2022.0,mujer,"vive solo"
82,buen,"good running",36.0,"pre buen pagador",privado,3342.0,hombre,"no vive solo"
83,buen,"bad running",18.0,"pre buen pagador",profesional,5866.0,hombre,"no vive solo"
84,buen,"bad running",15.0,"pre buen pagador",privado,2360.0,hombre,"no vive solo"
85,buen,"good running",15.0,"pre buen pagador",privado,1520.0,hombre,"no vive solo"
86,buen,no,12.0,"pre buen pagador",profesional,3651.0,hombre,"no vive solo"
87,buen,"good running",24.0,"pre buen pagador",privado,2346.0,hombre,"no vive solo"
88,buen,"good running",36.0,"pre buen pagador",privado,4454.0,mujer,"vive solo"
89,buen,no,6.0,"pre buen pagador",profesional,666.0,mujer,"vive solo"
90,buen,"bad running",24.0,"pre buen pagador",profesional,1965.0,mujer,"vive solo"
91,buen,"bad running",12.0,"pre buen pagador",profesional,1995.0,hombre,"no vive solo"
92,buen,"bad running",30.0,"pre buen pagador",privado,2991.0,mujer,"vive solo"
93,buen,"bad running",30.0,"pre mal pagador",profesional,4221.0,mujer,"vive solo"
94,buen,no,9.0,"pre buen pagador",privado,1364.0,hombre,"no vive solo"
95,buen,"bad running",18.0,"pre buen pagador",privado,6361.0,hombre,"no vive solo"
96,buen,"good running",27.0,"pre buen pagador",privado,4526.0,hombre,"no vive solo"
97,buen,"bad running",12.0,"pre buen pagador",privado,3573.0,mujer,"vive solo"
98,mal,"bad running",36.0,"pre buen pagador",profesional,4455.0,hombre,"vive solo"
99,buen,no,9.0,"pre buen pagador",privado,2136.0,hombre,"no vive solo"
100,buen,"bad running",42.0,"pre buen pagador",profesional,5954.0,mujer,"vive solo"
101,buen,"good running",24.0,"pre buen pagador",privado,3777.0,hombre,"no vive solo"
102,buen,no,15.0,"pre buen pagador",profesional,806.0,mujer,"vive solo"
103,buen,"bad running",24.0,"pre buen pagador",profesional,4712.0,hombre,"no vive solo"
104,buen,"bad running",36.0,"pre buen pagador",profesional,7432.0,mujer,"vive solo"
105,buen,"good running",24.0,"pre buen pagador",privado,1851.0,mujer,"no vive solo"
106,buen,"good running",24.0,"pre buen pagador",profesional,1393.0,hombre,"no vive solo"
107,buen,"good running",12.0,"pre buen pagador",profesional,1412.0,mujer,"vive solo"
108,buen,"good running",18.0,"pre buen pagador",privado,1473.0,mujer,"no vive solo"
109,buen,"good running",24.0,"pre buen pagador",privado,1533.0,mujer,"vive solo"
110,buen,"good running",12.0,"pre buen pagador",privado,2012.0,mujer,"vive solo"
111,mal,no,15.0,"pre buen pagador",profesional,3959.0,mujer,"vive solo"
112,buen,no,6.0,"pre buen pagador",privado,428.0,mujer,"vive solo"
113,buen,"bad running",12.0,"pre buen pagador",profesional,2366.0,hombre,"vive solo"
114,buen,"good running",12.0,"pre buen pagador",privado,763.0,mujer,"vive solo"
115,buen,"bad running",21.0,"pre buen pagador",privado,3976.0,hombre,"no vive solo"
116,buen,"bad running",18.0,"pre buen pagador",profesional,6260.0,hombre,"no vive solo"
117,buen,"bad running",9.0,"pre buen pagador",privado,1919.0,hombre,"no vive solo"
118,buen,"good running",24.0,"pre buen pagador",privado,2603.0,mujer,"vive solo"
119,buen,"good running",9.0,"pre buen pagador",privado,936.0,hombre,"no vive solo"
120,buen,"good running",24.0,"pre buen pagador",privado,3062.0,hombre,"no vive solo"
121,buen,"bad running",36.0,"pre buen pagador",privado,4795.0,mujer,"vive solo"
122,buen,"good running",36.0,"pre buen pagador",privado,5842.0,hombre,"no vive solo"
123,buen,"bad running",6.0,"pre buen pagador",privado,2063.0,mujer,"no vive solo"
124,buen,"good running",15.0,"pre buen pagador",privado,1459.0,mujer,"vive solo"
125,buen,"good running",15.0,"pre buen pagador",privado,1213.0,hombre,"no vive solo"
126,buen,"good running",24.0,"pre buen pagador",privado,5103.0,mujer,"no vive solo"
127,buen,"good running",15.0,"pre buen pagador",privado,874.0,mujer,"vive solo"
128,buen,"good running",6.0,"pre buen pagador",privado,2978.0,hombre,"no vive solo"
129,buen,"good running",18.0,"pre buen pagador",profesional,1820.0,mujer,"no vive solo"
130,buen,"good running",24.0,"pre buen pagador",privado,2872.0,hombre,"no vive solo"
131,buen,"bad running",24.0,"pre buen pagador",privado,1925.0,hombre,"no vive solo"
132,buen,"good running",18.0,"pre buen pagador",privado,2515.0,hombre,"no vive solo"
133,buen,"bad running",6.0,"pre buen pagador",privado,2116.0,hombre,"no vive solo"
134,buen,"good running",18.0,"pre buen pagador",privado,1453.0,mujer,"vive solo"
135,buen,"good running",10.0,"pre buen pagador",profesional,1364.0,mujer,"vive solo"
136,buen,"good running",6.0,"pre buen pagador",privado,1543.0,hombre,"vive solo"
137,buen,"bad running",12.0,"pre buen pagador",profesional,1318.0,hombre,"no vive solo"
138,buen,no,24.0,"pre mal pagador",profesional,2325.0,hombre,"no vive solo"
139,buen,"bad running",6.0,"pre buen pagador",privado,932.0,mujer,"vive solo"
140,buen,"bad running",24.0,"pre buen pagador",privado,3148.0,hombre,"no vive solo"
141,buen,"good running",36.0,"pre buen pagador",privado,3835.0,mujer,"vive solo"
142,buen,"good running",9.0,"pre buen pagador",privado,3832.0,hombre,"no vive solo"
143,buen,"bad running",24.0,"pre buen pagador",privado,5084.0,mujer,"vive solo"
144,buen,"good running",9.0,"pre buen pagador",privado,2406.0,hombre,"no vive solo"
145,buen,"good running",36.0,"pre buen pagador",privado,2394.0,mujer,"vive solo"
146,buen,"good running",21.0,"pre buen pagador",privado,2476.0,hombre,"no vive solo"
147,buen,no,24.0,"pre buen pagador",privado,2964.0,hombre,"no vive solo"
148,buen,no,12.0,"pre buen pagador",privado,1262.0,hombre,"vive solo"
149,buen,"good running",12.0,"pre buen pagador",profesional,1542.0,hombre,"no vive solo"
150,buen,"bad running",24.0,"pre buen pagador",privado,1743.0,hombre,"no vive solo"
151,buen,"bad running",12.0,"pre mal pagador",privado,409.0,mujer,"vive solo"
152,buen,"good running",12.0,"pre buen pagador",privado,2171.0,mujer,"vive solo"
153,buen,"good running",48.0,"pre buen pagador",privado,8858.0,hombre,"no vive solo"
154,buen,"bad running",24.0,"pre buen pagador",profesional,3512.0,hombre,"no vive solo"
155,buen,"bad running",12.0,"pre buen pagador",privado,1158.0,hombre,"vive solo"
156,buen,"good running",24.0,"pre buen pagador",privado,2684.0,hombre,"no vive solo"
157,buen,no,12.0,"pre buen pagador",privado,1498.0,mujer,"vive solo"
158,buen,"good running",30.0,"pre buen pagador",privado,5954.0,hombre,"no vive solo"
159,mal,"bad running",48.0,"pre mal pagador",profesional,6416.0,mujer,"vive solo"
160,buen,"bad running",12.0,"pre buen pagador",privado,3617.0,hombre,"no vive solo"
161,buen,"good running",12.0,"pre buen pagador",privado,1291.0,mujer,"vive solo"
162,buen,"bad running",24.0,"pre buen pagador",profesional,1275.0,hombre,"vive solo"
163,buen,"good running",24.0,"pre buen pagador",privado,3972.0,mujer,"vive solo"
164,buen,"good running",15.0,"pre buen pagador",privado,3343.0,hombre,"no vive solo"
165,buen,"bad running",15.0,"pre buen pagador",privado,392.0,mujer,"vive solo"
166,buen,"good running",9.0,"pre buen pagador",profesional,2134.0,hombre,"no vive solo"
167,buen,"good running",30.0,"pre buen pagador",privado,5771.0,mujer,"vive solo"
168,buen,"good running",24.0,"pre buen pagador",profesional,4526.0,hombre,"no vive solo"
169,buen,"good running",15.0,"pre buen pagador",privado,2788.0,mujer,"vive solo"
170,buen,"good running",6.0,"pre buen pagador",privado,1382.0,mujer,"vive solo"
171,buen,"bad running",36.0,"pre buen pagador",privado,5848.0,hombre,"no vive solo"
172,mal,no,12.0,"pre buen pagador",profesional,1228.0,mujer,"vive solo"
173,buen,"bad running",12.0,"pre buen pagador",privado,1297.0,mujer,"no vive solo"
174,buen,"good running",24.0,"pre buen pagador",privado,1552.0,hombre,"no vive solo"
175,buen,"good running",12.0,"pre buen pagador",privado,1963.0,hombre,"no vive solo"
176,buen,"good running",24.0,"pre buen pagador",privado,3235.0,hombre,"vive solo"
177,buen,"good running",24.0,"pre buen pagador",profesional,4139.0,hombre,"no vive solo"
178,buen,"bad running",12.0,"pre buen pagador",privado,1804.0,hombre,"no vive solo"
179,buen,"good running",18.0,"pre buen pagador",profesional,1950.0,hombre,"no vive solo"
180,buen,"good running",48.0,"pre buen pagador",privado,12749.0,hombre,"no vive solo"
181,buen,"good running",9.0,"pre buen pagador",privado,1236.0,mujer,"vive solo"
182,buen,"good running",18.0,"pre buen pagador",profesional,1055.0,mujer,"vive solo"
183,buen,no,30.0,"pre mal pagador",profesional,8072.0,hombre,"no vive solo"
184,buen,"good running",30.0,"pre buen pagador",privado,2831.0,mujer,"vive solo"
185,buen,"good running",9.0,"pre buen pagador",profesional,1449.0,mujer,"vive solo"
186,buen,"good running",36.0,"pre buen pagador",profesional,5742.0,hombre,"no vive solo"
187,buen,"good running",12.0,"pre buen pagador",profesional,2390.0,hombre,"no vive solo"
188,buen,"good running",24.0,"pre buen pagador",privado,3430.0,hombre,"no vive solo"
189,buen,"bad running",36.0,"pre buen pagador",privado,2273.0,hombre,"no vive solo"
190,buen,"bad running",21.0,"pre buen pagador",profesional,2923.0,mujer,"vive solo"
191,buen,"good running",24.0,"pre buen pagador",privado,1901.0,hombre,"no vive solo"
192,buen,"bad running",36.0,"pre buen pagador",privado,3711.0,mujer,"no vive solo"
193,buen,"bad running",48.0,"pre buen pagador",profesional,8487.0,mujer,"vive solo"
194,buen,"good running",24.0,"pre buen pagador",profesional,2255.0,hombre,"no vive solo"
195,buen,"good running",12.0,"pre buen pagador",privado,1262.0,hombre,"no vive solo"
196,buen,"good running",33.0,"pre buen pagador",privado,7253.0,hombre,"no vive solo"
197,buen,"good running",6.0,"pre buen pagador",profesional,6761.0,hombre,"no vive solo"
198,buen,"good running",18.0,"pre buen pagador",privado,1817.0,mujer,"vive solo"
199,buen,"good running",12.0,"pre buen pagador",privado,2141.0,hombre,"no vive solo"
200,buen,"good running",48.0,"pre mal pagador",profesional,3609.0,mujer,"vive solo"
201,buen,"good running",30.0,"pre buen pagador",privado,2333.0,hombre,"no vive solo"
202,buen,"good running",28.0,"pre mal pagador",privado,7824.0,hombre,"no vive solo"
203,buen,"bad running",18.0,"pre mal pagador",privado,1445.0,hombre,"no vive solo"
204,buen,no,24.0,"pre buen pagador",privado,7721.0,mujer,"vive solo"
205,buen,no,21.0,"pre buen pagador",profesional,3763.0,hombre,"no vive solo"
206,buen,"bad running",18.0,"pre buen pagador",profesional,4439.0,hombre,"no vive solo"
207,buen,no,12.0,"pre buen pagador",privado,1107.0,hombre,"no vive solo"
208,buen,"bad running",15.0,"pre buen pagador",privado,1444.0,hombre,"no vive solo"
209,buen,"bad running",48.0,"pre mal pagador",profesional,12169.0,hombre,"no vive solo"
210,buen,"good running",9.0,"pre buen pagador",privado,2753.0,hombre,"no vive solo"
211,buen,"bad running",4.0,"pre buen pagador",profesional,1494.0,hombre,"no vive solo"
212,buen,no,24.0,"pre mal pagador",privado,2828.0,hombre,"no vive solo"
213,buen,no,24.0,"pre mal pagador",privado,2483.0,hombre,"no vive solo"
214,buen,"bad running",6.0,"pre buen pagador",profesional,1299.0,hombre,"no vive solo"
215,buen,"bad running",9.0,"pre buen pagador",profesional,1549.0,hombre,"no vive solo"
216,buen,"bad running",10.0,"pre buen pagador",profesional,3949.0,hombre,"no vive solo"
217,buen,"good running",10.0,"pre buen pagador",privado,2901.0,mujer,"vive solo"
218,buen,"bad running",6.0,"pre buen pagador",profesional,709.0,mujer,"no vive solo"
219,buen,no,47.0,"pre buen pagador",profesional,10722.0,mujer,"vive solo"
220,buen,"good running",10.0,"pre buen pagador",profesional,1287.0,hombre,"no vive solo"
221,buen,no,18.0,"pre mal pagador",privado,1940.0,hombre,"no vive solo"
222,buen,"bad running",30.0,"pre buen pagador",privado,3656.0,hombre,"no vive solo"
223,buen,"good running",24.0,"pre buen pagador",privado,4679.0,hombre,"no vive solo"
224,buen,"good running",27.0,"pre buen pagador",privado,8613.0,hombre,"no vive solo"
225,buen,no,18.0,"pre buen pagador",privado,2659.0,hombre,"no vive solo"
226,buen,"good running",24.0,"pre buen pagador",privado,1516.0,mujer,"vive solo"
227,buen,no,18.0,"pre buen pagador",profesional,4380.0,hombre,"no vive solo"
228,buen,"good running",14.0,"pre buen pagador",profesional,802.0,hombre,"no vive solo"
229,buen,"good running",21.0,"pre buen pagador",profesional,1572.0,mujer,"vive solo"
230,buen,"bad running",48.0,"pre mal pagador",profesional,3566.0,hombre,"no vive solo"
231,buen,"good running",24.0,"pre buen pagador",privado,1278.0,hombre,"no vive solo"
232,buen,"good running",6.0,"pre mal pagador",privado,426.0,mujer,"no vive solo"
233,buen,"good running",39.0,"pre buen pagador",privado,8588.0,hombre,"no vive solo"
234,buen,no,30.0,"pre buen pagador",privado,3857.0,hombre,"vive solo"
235,mal,"bad running",12.0,"pre buen pagador",profesional,685.0,mujer,"no vive solo"
236,buen,no,24.0,"pre buen pagador",privado,1603.0,mujer,"vive solo"
237,buen,"good running",21.0,"pre buen pagador",privado,2241.0,hombre,"no vive solo"
238,buen,no,24.0,"pre buen pagador",privado,2384.0,hombre,"no vive solo"
239,buen,"good running",4.0,"pre buen pagador",privado,601.0,mujer,"vive solo"
240,buen,"good running",39.0,"pre buen pagador",privado,2569.0,hombre,"no vive solo"
241,buen,"good running",15.0,"pre buen pagador",privado,1316.0,mujer,"no vive solo"
242,buen,"good running",60.0,"pre buen pagador",profesional,10366.0,hombre,"no vive solo"
243,buen,"good running",18.0,"pre buen pagador",profesional,1568.0,mujer,"vive solo"
244,buen,"good running",18.0,"pre buen pagador",privado,629.0,hombre,"no vive solo"
245,buen,"good running",6.0,"pre mal pagador",privado,1750.0,hombre,"no vive solo"
246,buen,"good running",24.0,"pre buen pagador",privado,3488.0,mujer,"vive solo"
247,buen,"good running",18.0,"pre buen pagador",privado,1800.0,hombre,"no vive solo"
248,buen,"good running",24.0,"pre buen pagador",privado,4151.0,hombre,"no vive solo"
249,buen,"bad running",15.0,"pre buen pagador",privado,2631.0,mujer,"vive solo"
250,buen,"good running",21.0,"pre buen pagador",privado,5248.0,hombre,"no vive solo"
251,buen,"bad running",18.0,"pre buen pagador",profesional,2899.0,hombre,"no vive solo"
252,buen,"bad running",18.0,"pre buen pagador",privado,6204.0,hombre,"no vive solo"
253,buen,"good running",12.0,"pre buen pagador",privado,804.0,hombre,"no vive solo"
254,buen,"good running",36.0,"pre buen pagador",privado,3595.0,hombre,"no vive solo"
255,buen,"good running",36.0,"pre buen pagador",privado,5711.0,hombre,"no vive solo"
256,buen,"bad running",15.0,"pre buen pagador",profesional,2687.0,hombre,"no vive solo"
257,buen,no,15.0,"pre buen pagador",privado,3643.0,mujer,"vive solo"
258,buen,"good running",10.0,"pre buen pagador",privado,2146.0,mujer,"vive solo"
259,buen,no,10.0,"pre buen pagador",privado,2315.0,hombre,"no vive solo"
260,buen,"good running",5.0,"pre buen pagador",profesional,3448.0,hombre,"no vive solo"
261,buen,"good running",15.0,"pre buen pagador",privado,2708.0,hombre,"no vive solo"
262,buen,"good running",11.0,"pre buen pagador",profesional,1393.0,mujer,"vive solo"
263,buen,"bad running",10.0,"pre buen pagador",privado,1275.0,mujer,"vive solo"
264,buen,"good running",9.0,"pre buen pagador",privado,1313.0,hombre,"no vive solo"
265,buen,"good running",12.0,"pre buen pagador",privado,1493.0,mujer,"vive solo"
266,buen,"good running",22.0,"pre buen pagador",privado,2675.0,hombre,"no vive solo"
267,buen,"bad running",9.0,"pre buen pagador",privado,2118.0,hombre,"no vive solo"
268,buen,"good running",36.0,"pre buen pagador",profesional,909.0,hombre,"no vive solo"
269,buen,"good running",12.0,"pre buen pagador",privado,1258.0,mujer,"vive solo"
270,buen,"good running",15.0,"pre mal pagador",privado,1569.0,hombre,"no vive solo"
271,buen,"good running",6.0,"pre buen pagador",privado,1236.0,hombre,"no vive solo"
272,buen,"good running",36.0,"pre buen pagador",privado,7678.0,mujer,"vive solo"
273,buen,"good running",6.0,"pre buen pagador",privado,660.0,mujer,"no vive solo"
274,buen,"good running",24.0,"pre buen pagador",privado,2835.0,hombre,"no vive solo"
275,buen,"good running",24.0,"pre buen pagador",privado,2670.0,hombre,"no vive solo"
276,buen,"good running",12.0,"pre mal pagador",privado,3447.0,mujer,"vive solo"
277,buen,"good running",15.0,"pre buen pagador",privado,3568.0,mujer,"vive solo"
278,buen,"bad running",21.0,"pre buen pagador",profesional,3652.0,hombre,"no vive solo"
279,buen,no,24.0,"pre buen pagador",privado,3660.0,mujer,"vive solo"
280,buen,"bad running",9.0,"pre buen pagador",privado,1126.0,hombre,"vive solo"
281,buen,"bad running",6.0,"pre buen pagador",privado,683.0,mujer,"vive solo"
282,buen,"bad running",12.0,"pre buen pagador",privado,2251.0,mujer,"vive solo"
283,buen,"good running",12.0,"pre buen pagador",privado,4675.0,mujer,"vive solo"
284,buen,"bad running",21.0,"pre buen pagador",profesional,2353.0,hombre,"vive solo"
285,buen,no,21.0,"pre buen pagador",privado,3357.0,mujer,"vive solo"
286,buen,"good running",6.0,"pre buen pagador",profesional,672.0,mujer,"vive solo"
287,buen,no,6.0,"pre buen pagador",privado,338.0,hombre,"no vive solo"
288,buen,"good running",9.0,"pre buen pagador",privado,2697.0,hombre,"no vive solo"
289,buen,"good running",9.0,"pre buen pagador",profesional,2507.0,hombre,"no vive solo"
290,buen,"good running",15.0,"pre buen pagador",privado,1478.0,mujer,"no vive solo"
291,buen,"good running",12.0,"pre buen pagador",privado,3565.0,hombre,"no vive solo"
292,buen,"good running",15.0,"pre buen pagador",privado,2221.0,mujer,"vive solo"
293,buen,"good running",6.0,"pre buen pagador",privado,1898.0,hombre,"no vive solo"
294,buen,"bad running",6.0,"pre buen pagador",profesional,1449.0,hombre,"vive solo"
295,buen,"good running",15.0,"pre buen pagador",privado,960.0,mujer,"vive solo"
296,buen,"good running",36.0,"pre buen pagador",privado,8133.0,mujer,"vive solo"
297,buen,"good running",9.0,"pre buen pagador",privado,2301.0,mujer,"vive solo"
298,buen,"good running",6.0,"pre buen pagador",profesional,1743.0,hombre,"no vive solo"
299,buen,"bad running",12.0,"pre buen pagador",privado,983.0,mujer,"vive solo"
300,buen,"good running",18.0,"pre buen pagador",privado,2320.0,mujer,"no vive solo"
301,buen,no,12.0,"pre mal pagador",privado,339.0,mujer,"no vive solo"
302,buen,"bad running",24.0,"pre buen pagador",privado,5152.0,hombre,"no vive solo"
303,buen,"bad running",24.0,"pre buen pagador",privado,3749.0,mujer,"vive solo"
304,buen,"good running",9.0,"pre buen pagador",privado,3074.0,hombre,"no vive solo"
305,mal,"bad running",9.0,"pre buen pagador",privado,745.0,mujer,"vive solo"
306,buen,"good running",24.0,"pre buen pagador",profesional,1469.0,mujer,"no vive solo"
307,buen,no,6.0,"pre buen pagador",privado,1374.0,hombre,"no vive solo"
308,buen,"good running",6.0,"pre mal pagador",profesional,783.0,hombre,"no vive solo"
309,buen,no,21.0,"pre buen pagador",privado,2606.0,mujer,"vive solo"
310,buen,"good running",54.0,"pre mal pagador",privado,9436.0,hombre,"no vive solo"
311,buen,"good running",12.0,"pre buen pagador",privado,930.0,hombre,"no vive solo"
312,buen,"good running",48.0,"pre buen pagador",privado,2751.0,hombre,"no vive solo"
313,buen,"good running",6.0,"pre buen pagador",profesional,250.0,mujer,"vive solo"
314,buen,"bad running",24.0,"pre buen pagador",profesional,1201.0,hombre,"no vive solo"
315,buen,no,6.0,"pre buen pagador",profesional,662.0,hombre,"no vive solo"
316,buen,"good running",15.0,"pre buen pagador",privado,1300.0,hombre,"no vive solo"
317,buen,"good running",24.0,"pre mal pagador",profesional,1559.0,hombre,"no vive solo"
318,buen,"bad running",12.0,"pre buen pagador",privado,3016.0,mujer,"no vive solo"
319,buen,"good running",15.0,"pre buen pagador",privado,1360.0,hombre,"no vive solo"
320,buen,"good running",6.0,"pre mal pagador",profesional,1204.0,hombre,"no vive solo"
321,buen,"good running",10.0,"pre buen pagador",profesional,1597.0,hombre,"no vive solo"
322,buen,"good running",12.0,"pre buen pagador",privado,2073.0,mujer,"vive solo"
323,buen,"good running",11.0,"pre buen pagador",profesional,2142.0,hombre,"vive solo"
324,buen,no,10.0,"pre buen pagador",privado,2132.0,mujer,"vive solo"
325,buen,"good running",10.0,"pre buen pagador",profesional,1546.0,hombre,"no vive solo"
326,buen,"good running",24.0,"pre buen pagador",profesional,1287.0,mujer,"vive solo"
327,buen,"good running",10.0,"pre buen pagador",profesional,1418.0,hombre,"no vive solo"
328,buen,"bad running",6.0,"pre buen pagador",profesional,1343.0,hombre,"no vive solo"
329,buen,"good running",18.0,"pre buen pagador",profesional,2662.0,hombre,"no vive solo"
330,buen,"good running",18.0,"pre buen pagador",privado,6070.0,hombre,"no vive solo"
331,buen,"good running",24.0,"pre buen pagador",privado,1927.0,mujer,"vive solo"
332,buen,"good running",18.0,"pre buen pagador",privado,2404.0,mujer,"vive solo"
333,buen,"good running",6.0,"pre buen pagador",privado,1554.0,mujer,"vive solo"
334,buen,"good running",22.0,"pre buen pagador",profesional,1283.0,mujer,"vive solo"
