"Plan_Inter" "Min_dia" "LLam_dia" "Min_Inter" "N_Reclam" "Llam_Inter" "Flag_Fuga"
"62" "no" 210.1 97 13.3 0 1 "yes"
"63" "no" 105.3 101 11.1 4 2 "yes"
"64" "no" 148.7 95 10.4 6 7 "yes"
"65" "no" 240.1 121 17.2 0 4 "yes"
"66" "no" 156 70 7.1 4 3 "yes"
"67" "no" 235 77 5.3 3 4 "yes"
"68" "no" 162.5 86 13.4 4 6 "yes"
"69" "no" 302.8 143 10.9 2 4 "yes"
"70" "yes" 234.6 84 8 1 2 "yes"
"71" "yes" 197.7 99 19.2 3 4 "yes"
"72" "no" 222.4 90 9.9 2 3 "yes"
"73" "no" 82.7 94 10.6 0 4 "yes"
"74" "no" 267.9 80 14.9 3 1 "yes"
"75" "no" 180.6 134 10.6 4 6 "yes"
"76" "no" 282.8 108 10.3 3 1 "yes"
"77" "no" 160.1 64 7.6 5 12 "yes"
"78" "yes" 159.4 47 13.7 2 2 "yes"
"79" "no" 244.5 72 7.6 5 1 "yes"
"80" "no" 133 94 9.9 4 3 "yes"
"81" "no" 297.2 113 12.4 1 6 "yes"
"82" "no" 132.2 122 12.9 3 11 "yes"
"83" "no" 351.5 95 11.9 1 4 "yes"
"84" "yes" 97.2 91 10.1 1 2 "yes"
"85" "yes" 159.5 95 5.4 5 4 "yes"
"86" "yes" 158.1 101 13.9 3 2 "yes"
"87" "no" 103.5 105 11.7 5 2 "yes"
"88" "no" 125 96 10.2 1 4 "yes"
"89" "no" 260.6 81 12.8 0 9 "yes"
"90" "no" 257.9 80 16.8 2 3 "yes"
"91" "no" 133.2 80 12 3 3 "yes"
"92" "no" 140.8 126 6.4 4 5 "yes"
"93" "yes" 209.9 79 11.4 2 2 "yes"
"94" "no" 185.6 115 6.7 4 4 "yes"
"95" "no" 287.1 83 11 1 4 "yes"
"96" "yes" 160.6 101 8.8 1 2 "yes"
"97" "no" 258.7 94 11.4 1 2 "yes"
"98" "no" 244.7 84 10.5 2 1 "yes"
"99" "yes" 265.5 75 14.8 2 6 "yes"
"100" "no" 332.1 91 11.3 1 3 "yes"
"101" "no" 70.9 123 10.6 3 3 "no"
"102" "no" 223.6 86 9.5 0 7 "no"
"103" "no" 294.7 95 13.7 1 6 "no"
"104" "no" 216.8 123 15.7 1 2 "no"
"105" "no" 197.4 78 7.7 2 4 "no"
"106" "no" 226.5 85 6.9 1 5 "no"
"107" "no" 218.9 124 12.9 1 3 "no"
"108" "no" 157.5 97 11.1 0 6 "no"
"109" "no" 89.1 117 9.9 2 4 "no"
"110" "no" 177.8 100 11.9 0 1 "no"
"111" "no" 209.8 77 9 1 4 "no"
"112" "no" 93.2 109 10.5 1 2 "no"
"113" "no" 228.1 86 10.6 1 9 "no"
"114" "no" 112.6 86 7.2 3 6 "no"
"115" "no" 207.3 77 12.9 1 5 "no"
"116" "no" 208.1 93 7.4 1 2 "no"
"117" "no" 112.8 66 14.3 1 3 "no"
"118" "no" 225.3 124 11.7 1 3 "no"
"119" "no" 169.4 105 13.9 4 5 "no"
"120" "no" 193.3 121 7.1 1 9 "no"
"121" "no" 161.2 142 14.7 1 5 "no"
"122" "no" 95.6 88 9.8 3 2 "no"
"123" "no" 79.8 99 9.3 2 8 "no"
"124" "no" 170.8 101 11 2 3 "no"
"125" "no" 229.2 111 5.2 1 5 "no"
"126" "no" 259.3 94 9.2 3 1 "no"
"127" "no" 212.6 110 10.1 0 5 "no"
"128" "yes" 101 110 11.1 0 6 "no"
"129" "yes" 140.1 125 10.1 1 3 "no"
"130" "no" 150.4 106 12.3 3 3 "no"
"131" "yes" 189.9 125 9.1 3 5 "no"
"132" "no" 100.8 74 12.6 2 3 "no"
"133" "no" 138.1 131 10 3 3 "no"
"134" "no" 179.7 112 10.1 3 7 "no"
"135" "no" 191.3 104 11 1 1 "no"
"136" "no" 168.3 76 12 2 3 "no"
"137" "no" 255.4 122 11.1 0 6 "no"
"138" "no" 166.2 125 13.4 1 6 "no"
"139" "no" 77 106 12.5 1 6 "no"
"140" "no" 168.4 127 11 2 4 "no"
"141" "no" 175.6 91 9.5 0 8 "no"
"142" "no" 169.1 48 10.7 3 8 "no"
"143" "no" 190.7 111 4.4 1 3 "no"
"144" "no" 239.6 120 8.6 1 3 "no"
"145" "no" 121.3 112 7.4 1 4 "no"
"146" "yes" 230.6 131 6.8 0 4 "no"
"147" "no" 112.5 95 11.1 0 8 "no"
"148" "no" 172.2 88 11.8 2 4 "no"
"149" "no" 195.3 97 16.2 1 13 "no"
"150" "no" 167.7 93 6.9 3 5 "no"
"151" "no" 180.1 103 13.4 0 5 "no"
"152" "no" 129.6 81 9.8 2 4 "no"
"153" "no" 215.5 108 13.2 0 4 "no"
"154" "no" 218.6 83 9.1 1 6 "no"
"155" "no" 211.9 65 9.9 2 3 "no"
"156" "no" 82 95 8 1 4 "no"
"157" "no" 149.1 103 11.4 2 7 "no"
"158" "no" 277.7 118 10.4 0 8 "no"
"159" "no" 155.2 99 7.5 1 7 "no"
"160" "no" 198.5 75 10.6 0 6 "no"
"161" "no" 209.1 57 12.8 1 4 "no"
"162" "no" 200 104 18.9 1 2 "no"
"163" "no" 196.1 95 7.6 3 3 "no"
"164" "no" 121.6 99 7.1 1 2 "no"
"165" "no" 204.1 132 0 1 0 "no"
"166" "no" 212.1 114 11.3 4 5 "no"
"167" "no" 178.3 86 13.8 1 2 "no"
"168" "no" 181.8 92 7 0 6 "no"
"169" "no" 120.6 104 9.6 2 6 "no"
"170" "no" 172.4 112 8.8 1 9 "no"
"171" "no" 98.4 100 15.1 1 3 "no"
"172" "no" 109 126 7.9 1 3 "no"
"173" "yes" 122.4 98 11.6 3 5 "no"
"174" "no" 102.5 87 8.7 1 5 "no"
"175" "no" 274.1 119 9.9 2 5 "no"
"176" "no" 193.1 82 13.3 2 5 "no"
"177" "no" 182.8 96 7.7 2 2 "no"
"178" "no" 148.4 86 11.3 1 12 "no"
"179" "no" 75.8 107 10.5 2 3 "no"
"180" "no" 198 90 9.3 1 2 "no"
"181" "no" 199.9 64 11.7 3 6 "no"
"182" "no" 187.5 105 11.7 2 2 "no"
"183" "no" 183.6 111 10.3 0 6 "no"
"184" "no" 86.1 95 11.7 0 4 "no"
"185" "no" 126.8 83 11 3 4 "no"
"186" "no" 108.3 95 9.1 1 2 "no"
"187" "no" 147.3 81 11 2 3 "no"
"188" "no" 165.1 91 9.5 2 3 "no"
"189" "no" 122.2 88 5.7 3 10 "no"
"190" "no" 156.3 102 9 3 4 "no"
"191" "no" 277.7 109 10.4 1 2 "no"
"192" "yes" 147.4 117 10.9 0 5 "no"
"193" "no" 228.4 113 7.8 1 6 "no"
"194" "no" 184.6 133 6.8 1 8 "no"
"195" "no" 87.6 89 8 1 4 "no"
"196" "no" 219 95 5.6 4 5 "no"
"197" "no" 188.4 104 9.7 1 7 "no"
"198" "no" 254.8 83 13.5 4 2 "no"
"199" "no" 168.2 81 10.7 1 3 "no"
"200" "no" 143.1 114 8.9 3 3 "no"
"201" "no" 118.3 113 9.4 1 4 "no"
"202" "no" 256.5 115 7.5 0 5 "no"
"203" "no" 185.9 111 8.5 1 2 "no"
"204" "no" 219 100 11.9 3 8 "no"
"205" "no" 180.1 90 12.7 1 9 "no"
"206" "no" 114.9 119 12.6 2 5 "no"
"207" "no" 158.6 97 11.3 2 3 "no"
"208" "no" 180 58 13.2 1 9 "no"
"209" "no" 240.2 110 7 3 19 "no"
"210" "no" 234.4 120 9.4 1 4 "no"
"211" "no" 135.4 104 5.4 1 3 "no"
"212" "no" 262.9 95 7.5 1 5 "no"
"213" "no" 66.7 124 15.1 1 2 "no"
"214" "no" 221.4 110 10.1 1 4 "no"
"215" "no" 240.8 72 7.7 1 5 "no"
"216" "no" 170.5 101 9.8 3 1 "no"
"217" "no" 158.3 90 14 2 2 "no"
"218" "no" 201.7 87 7.9 0 5 "no"
"219" "no" 168.8 102 10.6 1 4 "no"
"220" "no" 141.9 98 12 2 5 "no"
"221" "no" 264.4 93 10 1 4 "no"
"222" "no" 203.7 80 9.4 3 1 "no"
"223" "no" 191.6 53 10.7 3 9 "no"
"224" "no" 136.4 147 7 0 3 "no"
"225" "no" 168.2 103 8.2 0 2 "no"
"226" "no" 125.3 128 7 3 3 "no"
"227" "no" 217.9 89 6.6 0 4 "no"
"228" "no" 198.1 93 12.6 2 4 "no"
"229" "yes" 178.8 81 7.1 1 5 "no"
"230" "no" 262.9 57 11.8 3 4 "no"
"231" "no" 164.6 85 11.5 0 5 "no"
"232" "no" 197 130 12.6 1 4 "no"
"233" "no" 102.9 94 13.6 1 2 "no"
"234" "no" 126.5 108 13.1 2 6 "no"
"235" "no" 139.8 109 13.6 3 4 "no"
"236" "no" 139.7 112 10.3 2 2 "no"
"237" "no" 239.7 102 10.5 1 2 "no"
"238" "no" 195.6 93 13.2 2 6 "no"
"239" "no" 161.1 110 7.6 2 2 "no"
"240" "no" 173.9 90 8.4 1 5 "no"
"241" "no" 165.4 88 10.5 4 3 "no"
"242" "no" 221.3 117 8.7 0 3 "no"
"243" "no" 196 75 13.9 1 5 "no"
"244" "no" 174.3 113 11.6 4 3 "no"
"245" "yes" 186.9 98 12.3 4 3 "no"
"246" "no" 158.4 107 14.9 0 2 "no"
"247" "no" 149.4 93 6 1 3 "no"
"248" "no" 244.5 94 9.7 1 3 "no"
"249" "no" 145.5 124 9.5 3 5 "no"
"250" "no" 147.7 101 11.1 0 5 "no"
"251" "no" 164.3 106 12.1 1 2 "no"
"252" "no" 89.4 77 10.4 3 2 "no"
"253" "no" 276.3 149 8.7 1 3 "no"
"254" "no" 172.7 79 11.7 1 5 "no"
"255" "no" 138.7 68 13.6 2 3 "no"
"256" "no" 205.4 68 9.4 5 2 "no"
"257" "no" 187.4 86 11.7 1 3 "no"
"258" "no" 206.1 105 12.1 2 7 "no"
"259" "no" 131.5 143 10.9 0 5 "no"
"260" "no" 120.1 103 6.3 1 4 "no"
"261" "no" 168.6 85 13.3 1 10 "no"
"262" "no" 235.8 91 11.9 1 4 "no"
"263" "no" 189.4 114 4.5 0 13 "no"
"264" "no" 158.5 90 14.8 2 5 "no"
"265" "no" 280 101 10.3 3 2 "no"
"266" "no" 229.8 97 8.9 1 2 "no"
"267" "no" 241.6 102 9.8 1 6 "no"
"268" "no" 176 141 7.1 3 5 "no"
"269" "no" 167 93 10.4 3 4 "no"
"270" "no" 129.2 142 8.7 0 4 "no"
"271" "no" 174 122 7.8 1 4 "no"
"272" "no" 264.6 117 8.1 0 4 "no"
"273" "no" 160.9 97 9.1 2 4 "no"
"274" "no" 124.8 93 11.3 1 3 "no"
"275" "no" 230.6 92 6.2 2 4 "no"
"276" "no" 241.7 112 11.3 2 2 "no"
"277" "no" 229.1 143 3.9 0 3 "no"
"278" "no" 212.9 92 8.6 2 2 "no"
"279" "no" 124.8 99 4.6 1 3 "no"
"280" "no" 133.9 82 11.7 0 4 "no"
"281" "no" 129.8 87 14.3 1 6 "no"
"282" "no" 88.5 112 7.5 1 12 "no"
"283" "no" 168.5 102 8.8 3 6 "no"
"284" "yes" 81.4 110 12.2 1 3 "no"
"285" "no" 117.2 99 9 1 7 "no"
"286" "no" 195.1 105 11.5 1 16 "no"
"287" "no" 172 80 10.3 0 3 "no"
"288" "yes" 165.2 85 11.9 1 5 "no"
"289" "no" 149.7 114 9 2 2 "no"
"290" "no" 185.8 61 11.8 1 4 "no"
"291" "no" 244.6 91 12 0 5 "no"
"292" "yes" 207.8 113 13 1 3 "no"
"293" "no" 245.8 116 9.9 1 7 "no"
"294" "no" 131 148 12.6 3 4 "no"
"295" "no" 213.3 124 12.1 1 2 "no"
"296" "no" 128.6 92 12.4 2 9 "no"
"297" "no" 95.3 103 13.6 1 4 "no"
"298" "no" 152.4 94 10.2 1 1 "no"
"299" "no" 194.9 108 8.2 4 4 "no"
"300" "no" 214.7 112 11.6 1 2 "no"
"301" "no" 180.4 99 9.5 1 6 "no"
"302" "no" 164.1 84 13.3 1 4 "no"
"303" "no" 211.1 62 15.6 2 3 "no"
"304" "no" 312.4 98 10.1 0 6 "no"
"305" "no" 223.3 97 11.6 1 2 "no"
"306" "no" 166.9 76 14.2 1 5 "no"
"307" "no" 192.9 60 18.7 0 7 "no"
"308" "no" 236.8 89 8 2 3 "no"
"309" "no" 149.7 99 9.5 1 5 "no"
"310" "no" 268.1 94 13.6 2 5 "no"
"311" "yes" 245 119 7.8 1 7 "no"
"312" "no" 187.9 121 10.4 2 5 "no"
"313" "no" 234 108 8.8 0 4 "no"
"314" "yes" 153.8 105 11.1 1 4 "no"
"315" "yes" 211.7 51 12 0 3 "no"
"316" "no" 229.4 78 12 3 4 "no"
"317" "no" 68.8 124 9.8 1 5 "no"
"318" "no" 200.2 113 10.4 0 5 "no"
"319" "no" 134.6 73 9.4 2 2 "no"
"320" "no" 232.4 101 9.5 0 3 "no"
"321" "no" 126 89 5.6 0 4 "no"
"322" "no" 175.9 121 10.9 1 5 "no"
"323" "yes" 161.7 99 12.4 1 6 "no"
"324" "no" 234 116 13.8 1 1 "no"
"325" "no" 174.1 127 10.7 0 3 "no"
"326" "no" 195.6 111 10.8 1 1 "no"
"327" "no" 200.8 104 9.7 0 5 "no"
"328" "yes" 116.9 74 9.9 1 8 "no"
"329" "no" 225.6 118 12.1 1 5 "no"
"330" "no" 272.9 122 10.5 2 3 "no"
"331" "no" 215.9 106 8.8 0 4 "no"
"332" "no" 281.9 121 7 3 5 "no"
"333" "yes" 181.2 122 8.4 0 4 "no"
"334" "no" 63.3 116 14.2 1 4 "no"
"335" "no" 208 83 14.9 1 3 "no"
"336" "no" 189.3 73 7.5 3 8 "no"
"337" "no" 172.3 135 10.4 1 2 "no"
"338" "no" 140 84 9 2 6 "no"
"339" "no" 167.2 133 9.5 1 4 "no"
"340" "yes" 191.6 83 8.6 3 3 "no"
"341" "no" 172.5 115 6.8 4 8 "no"
"342" "no" 289.1 79 13.5 1 4 "no"
"343" "no" 162.6 113 10.9 0 2 "no"
"344" "no" 233.6 126 12.8 1 4 "no"
"345" "no" 240.7 102 10.6 2 2 "no"
"346" "no" 155.6 78 8.7 2 2 "no"
"347" "no" 114.4 115 5.9 3 2 "no"
"348" "no" 164.8 106 4.3 2 2 "no"
"349" "no" 237.1 126 10.7 2 8 "no"
"350" "no" 220.3 106 10.2 3 1 "no"
"351" "no" 189 98 11.3 0 3 "no"
"352" "yes" 172.6 92 10.5 3 3 "no"
"353" "no" 168.8 141 10.5 3 7 "no"
"354" "no" 243.1 137 9.9 1 3 "no"
"355" "no" 97.9 119 7.4 0 4 "no"
"356" "yes" 179 114 10.8 3 3 "no"
"357" "no" 69.7 85 11.1 2 2 "no"
"358" "no" 140.4 117 8.7 2 4 "no"
"359" "no" 167.4 117 9 1 3 "no"
"360" "no" 166.4 112 5.5 0 2 "no"
"361" "no" 171.5 108 10.7 3 4 "no"
"362" "yes" 177.2 151 11.1 2 5 "no"
"363" "no" 114.5 64 10.4 0 16 "no"
"364" "no" 205.1 123 10.7 2 1 "no"
"365" "no" 125.8 102 9 2 2 "no"
"366" "no" 186.2 97 11 2 4 "no"
"367" "no" 128.9 136 10.7 0 5 "no"
"368" "no" 257.4 91 14.7 1 2 "no"
"369" "no" 189.3 113 14.2 5 3 "no"
"370" "no" 50.1 134 11 0 6 "no"
"371" "no" 165.5 72 9.7 2 6 "no"
"372" "yes" 143.7 108 9.9 0 4 "no"
"373" "no" 166.4 97 14.5 0 4 "no"
"374" "no" 264.2 118 10.7 2 1 "no"
"375" "no" 192.1 80 11.7 2 4 "no"
"376" "no" 145.4 98 8.8 1 2 "no"
"377" "no" 240.8 80 9.4 1 4 "no"
"378" "no" 170.7 98 4.8 3 7 "no"
"379" "no" 221 118 12.1 0 4 "no"
"380" "no" 180 109 10.8 0 4 "no"
"381" "no" 298.8 92 11.9 5 4 "no"
"382" "yes" 102.2 103 9 1 4 "no"
"383" "no" 182.9 87 12.1 4 3 "no"
"384" "no" 184.8 126 8.3 1 3 "no"
"385" "no" 175.7 91 10.7 1 10 "no"
"386" "no" 251.5 57 6.6 1 3 "no"
"387" "no" 131.6 102 0 3 0 "no"
"388" "no" 92.3 128 10.8 3 16 "no"
"389" "no" 131.4 98 11.2 2 2 "no"
"390" "no" 158.2 95 8.5 2 5 "no"
"391" "no" 216 106 11.2 0 4 "no"
"392" "no" 206.4 111 11.8 3 10 "no"
"393" "no" 138.2 94 11.1 3 6 "no"
"394" "no" 192.3 125 7.8 1 4 "no"
"395" "no" 262.1 78 5.3 0 3 "no"
"396" "no" 41.2 106 12.4 0 3 "no"
"397" "no" 167 60 8.9 1 2 "no"
"398" "no" 210.2 95 9.4 2 3 "no"
"399" "no" 204.9 74 11.2 2 4 "no"
"400" "no" 184.1 105 4.7 1 6 "no"
"401" "no" 263.8 84 8.7 2 6 "no"
"402" "no" 167.5 77 16.1 2 5 "no"
"403" "no" 142.3 50 5.5 1 3 "no"
"404" "no" 167.1 103 9.1 1 2 "no"
"405" "no" 148.3 86 10.9 0 4 "no"
"406" "yes" 144.5 60 12.4 1 3 "no"
"407" "no" 130.5 98 12.7 3 1 "no"
"408" "no" 133.3 107 9.1 3 4 "no"
"409" "no" 183.7 103 11.2 0 2 "no"
"410" "no" 122.5 70 10.4 0 6 "no"
"411" "no" 143.3 97 11.4 2 5 "no"
"412" "no" 182.5 85 14.7 1 6 "no"
"413" "no" 110.4 122 13.9 1 5 "no"
"414" "no" 140.8 109 14.1 0 1 "no"
"415" "no" 137.5 102 10.4 0 6 "no"
"416" "no" 115.9 81 10 1 4 "no"
"417" "no" 288.2 108 9.6 4 5 "no"
"418" "no" 60.2 100 13.3 1 4 "no"
"419" "no" 179.6 142 11.1 1 2 "no"
"420" "no" 99 126 8.4 1 3 "no"
"421" "no" 155.4 71 5.8 1 1 "no"
"422" "no" 177.4 107 15 3 9 "no"
"423" "no" 233.6 72 6.3 2 2 "no"
"424" "no" 210.2 109 9.9 3 4 "no"
"425" "no" 126.8 83 7.1 3 5 "no"
"426" "no" 187.1 80 10.4 1 2 "no"
"427" "no" 155.8 91 8.6 2 3 "no"
"428" "no" 232.1 130 13 0 3 "no"
"429" "no" 128.7 85 10.5 3 4 "no"
"430" "yes" 224.3 85 11.7 1 3 "no"
"431" "no" 208.9 87 14.9 2 5 "no"
"432" "no" 184.8 114 8 0 9 "no"
"433" "no" 145 106 12.7 1 3 "no"
"434" "no" 243.3 101 9.3 0 3 "no"
"435" "no" 214.8 60 10.9 1 2 "no"
"436" "no" 184.5 56 11.2 2 3 "no"
"437" "no" 84.3 98 10.3 2 2 "no"
"438" "no" 142.9 70 15.2 1 4 "no"
"439" "no" 120.6 82 11.4 0 5 "no"
"440" "no" 222.2 80 12.1 1 3 "no"
"441" "no" 219.3 132 15.7 2 2 "no"
"442" "no" 230.2 100 9 2 11 "no"
"443" "no" 76.1 115 6 0 2 "no"
"444" "yes" 147.7 105 12.7 0 5 "no"
"445" "yes" 139.4 102 10.5 1 4 "no"
"446" "no" 196 91 15.3 1 2 "no"
"447" "no" 160.8 73 7.2 1 3 "no"
"448" "no" 198.2 92 16.5 4 4 "no"
"449" "yes" 168.8 86 5.3 1 9 "no"
"450" "no" 273.8 99 6.9 2 4 "no"
"451" "no" 217.7 114 8.5 4 10 "no"
"452" "no" 195.4 104 14 0 4 "no"
"453" "no" 247.8 96 10.6 2 3 "no"
"454" "no" 162.5 81 9.7 2 1 "no"
"455" "no" 86.1 78 9 0 7 "no"
"456" "no" 89.1 124 6.9 0 5 "no"
"457" "no" 189.7 122 9.8 0 5 "no"
"458" "no" 190.8 100 9.9 0 9 "no"
"459" "no" 176.5 105 7.7 0 5 "no"
"460" "no" 188.3 80 10.2 2 4 "no"
"461" "no" 197.6 105 9.6 3 2 "no"
"462" "no" 208.5 129 12 1 9 "no"
"463" "no" 261 83 16.3 4 1 "no"
"464" "no" 209.6 94 12.4 0 4 "no"
"465" "no" 157.8 96 13.7 3 6 "no"
"466" "no" 72.2 80 11 2 5 "no"
"467" "no" 100.2 85 7.7 3 4 "no"
"468" "no" 152.9 106 8 1 5 "no"
"469" "no" 274 83 11.9 0 2 "no"
"470" "no" 215.6 127 11.2 3 7 "no"
"471" "no" 178.2 109 8.5 0 7 "no"
"472" "yes" 252.8 102 11.2 0 3 "no"
"473" "no" 216.2 100 7.8 2 3 "no"
"474" "no" 165.1 120 8.1 0 2 "no"
"475" "no" 133.8 88 12.4 2 4 "no"
"476" "no" 217.2 122 14 2 4 "no"
"477" "no" 82.1 75 9.6 1 2 "no"
"478" "no" 157.1 77 15.6 0 4 "no"
"479" "no" 205.5 95 9.7 1 4 "no"
"480" "no" 172.1 73 14.1 2 3 "no"
"481" "no" 206.8 104 12.4 0 6 "no"
"482" "no" 193.3 51 12.2 1 4 "no"
"483" "no" 225.9 52 11.7 0 3 "no"
"484" "no" 202.6 92 11.9 4 6 "no"
"485" "no" 48.4 105 11.5 2 4 "no"
"486" "no" 168.6 93 11.4 1 7 "no"
"487" "no" 142.9 92 10.4 0 6 "no"
"488" "no" 85.2 102 8.2 1 4 "no"
"489" "no" 77.8 123 5.7 1 7 "no"
"490" "no" 179.4 108 14.9 2 4 "no"
"491" "no" 139.8 98 11.7 3 3 "no"
"492" "no" 177.9 68 10.6 1 7 "no"
"493" "no" 101.9 98 15 1 6 "no"
"494" "no" 157.5 90 12.2 1 4 "no"
"495" "no" 167.1 138 13.7 3 10 "no"
"496" "no" 124.1 92 13.7 0 3 "no"
"497" "no" 221.4 124 11.8 3 1 "no"
"498" "no" 245.1 66 3.1 1 4 "no"
"499" "no" 135.7 111 9.5 1 4 "no"
"500" "no" 227.9 80 5.1 0 6 "no"
